created_timestamp,preferred_marketplace,country,device_family,content_id,low_battery_alert_reason
2024-07-25T20:39:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Battery low
2024-01-23T04:07:16Z,www.amazon.com,US,Kindle E-reader,B0BJSGV831,Battery low
2024-01-23T08:11:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Battery very low
2024-07-25T20:53:35Z,www.amazon.com,US,Kindle E-reader,B0C7729CF8,Battery low
2023-10-05T03:59:20Z,www.amazon.com,US,Kindle E-reader,B0BP66G6B7,Battery low
2024-11-30T05:54:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Battery low
2024-11-29T07:47:02Z,www.amazon.com,US,Kindle E-reader,7FLHIN5CJDB2OBP4B47X3KKHBVS7DZHH,Battery low
2025-02-18T05:17:17Z,www.amazon.com,US,Kindle E-reader,B003K15IF8,Battery low
2024-11-30T09:43:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Battery very low
2025-03-03T05:23:40Z,www.amazon.com,US,Kindle E-reader,6NDGE2NIHCVUABABQEW7LNCIZ7TO6CGC,Battery low
2024-11-30T06:26:07Z,www.amazon.com,US,Kindle E-reader,7FLHIN5CJDB2OBP4B47X3KKHBVS7DZHH,Battery low
2024-11-30T06:04:52Z,www.amazon.com,US,Kindle E-reader,7FLHIN5CJDB2OBP4B47X3KKHBVS7DZHH,Battery low
2025-02-18T05:20:19Z,www.amazon.com,US,Kindle E-reader,B003K15IF8,Battery low
2025-03-04T00:06:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Battery very low
