created_timestamp,preferred_marketplace,country,device_family,ASIN,Old Font Size Setting In Points,New Font Size Setting In Points,Old Font Slider Setting (0-20),New Font Slider Setting (0-20)
2025-05-24T04:04:00Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,11.5200,12.4800,5,6
2025-06-22T21:18:48Z,www.amazon.com,US,Kindle E-reader,B0DHDF2RDL,12.4800,11.5200,6,5
2025-05-24T03:56:22Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,11.5200,12.4800,5,6
2025-05-24T04:06:25Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,15.3600,17.0400,8,9
2025-05-24T03:56:06Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,17.0400,19.2000,9,10
2025-06-13T03:08:29Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,10.5600,11.5200,4,5
2025-05-24T04:06:11Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,11.5200,10.5600,5,4
2025-05-24T04:06:17Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,13.9200,12.4800,7,6
2025-05-24T04:06:28Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,11.5200,12.4800,5,6
2025-05-24T04:03:53Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,9.3600,10.5600,3,4
2025-05-24T03:56:10Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,19.2000,22.0800,10,11
2025-05-24T04:03:44Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,6.9600,7.9200,0,1
2025-05-24T04:06:06Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,19.2000,17.0400,10,9
2025-05-24T03:56:12Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,22.0800,19.2000,11,10
2025-06-22T21:10:30Z,www.amazon.com,US,Kindle E-reader,B0DHDF2RDL,11.5200,12.4800,5,6
2025-05-24T03:56:13Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,19.2000,17.0400,10,9
2025-05-24T04:03:36Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,12.4800,13.9200,6,7
2025-05-24T04:06:26Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,17.0400,19.2000,9,10
2025-06-22T21:09:37Z,www.amazon.com,US,Kindle E-reader,B0DHDF2RDL,10.5600,11.5200,4,5
2025-05-24T04:03:41Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,13.9200,6.9600,7,0
2025-05-24T04:06:21Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,13.9200,12.4800,7,6
2025-07-14T02:25:04Z,www.amazon.com,US,Kindle E-reader,CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,9.3600,10.5600,3,4
2025-05-04T18:34:04Z,www.amazon.com,US,Kindle E-reader,B0DLLGPNMQ,10.5600,9.3600,4,3
2025-05-20T02:49:30Z,www.amazon.com,US,Kindle E-reader,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,10.5600,9.3600,4,3
2025-05-24T04:03:49Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,9.3600,10.5600,3,4
2025-06-22T21:18:52Z,www.amazon.com,US,Kindle E-reader,B0DHDF2RDL,11.5200,10.5600,5,4
2025-05-24T04:03:46Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,8.4000,9.3600,2,3
2025-06-12T23:28:02Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,11.5200,10.5600,5,4
2025-05-24T04:06:13Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,11.5200,12.4800,5,6
2025-05-21T01:47:35Z,www.amazon.com,US,Kindle E-reader,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,9.3600,10.5600,3,4
2025-05-25T02:53:02Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,12.4800,11.5200,6,5
2025-05-24T04:06:19Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,12.4800,15.3600,6,8
2025-06-16T03:11:45Z,www.amazon.com,US,Kindle E-reader,ZPDUB3GM3WAX336MUVRJXWWZQKSYRZ4H,11.5200,10.5600,5,4
2025-05-25T02:53:08Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,11.5200,10.5600,5,4
2025-05-24T04:03:59Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,10.5600,11.5200,4,5
2025-05-24T04:03:58Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,11.5200,10.5600,5,4
2025-06-12T23:35:30Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,8.4000,9.3600,2,3
2025-06-12T23:28:03Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,10.5600,6.9600,4,0
2025-05-24T03:56:18Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,13.9200,12.4800,7,6
2025-05-24T04:03:44Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,7.9200,8.4000,1,2
2025-05-24T04:06:04Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,12.4800,19.2000,6,10
2025-05-24T03:56:15Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,15.3600,13.9200,8,7
2025-05-24T04:03:52Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,10.5600,9.3600,4,3
2025-05-21T05:11:17Z,www.amazon.com,US,Kindle E-reader,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,10.5600,11.5200,4,5
2025-06-13T03:08:25Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,9.3600,10.5600,3,4
2025-06-12T23:35:29Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,7.9200,8.4000,1,2
2025-07-13T21:28:15Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,10.5600,9.3600,4,3
2025-05-24T04:06:23Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,12.4800,15.3600,6,8
2025-05-24T04:06:07Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,17.0400,11.5200,9,5
2025-05-24T03:56:19Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,12.4800,11.5200,6,5
2025-06-01T03:25:51Z,www.amazon.com,US,Kindle E-reader,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,10.5600,11.5200,4,5
2025-05-24T04:03:55Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,10.5600,11.5200,4,5
2025-05-24T04:06:16Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,12.4800,13.9200,6,7
2025-05-06T03:36:16Z,www.amazon.com,US,Kindle E-reader,WF76OBCUMHIJ33X2SQRIIWKQ4MIBU6FK,9.3600,10.5600,3,4
2025-05-24T03:56:04Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,11.5200,17.0400,5,9
2025-05-24T04:06:12Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,10.5600,11.5200,4,5
2025-05-24T04:06:19Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,15.3600,13.9200,8,7
2025-05-24T04:06:26Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,19.2000,11.5200,10,5
2025-05-24T03:56:14Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,17.0400,15.3600,9,8
2025-06-12T23:35:28Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,6.9600,7.9200,0,1
