created_timestamp,ASIN,customer_context,action,highlight_color,is_starred,show_options_after_highlighting,number_of_words_in_highlight,device_family,country,preferred_marketplace
2023-04-05T04:35:00Z,B07HB5DKQX,SelectedTextMenu,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2025-06-12T23:27:54Z,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,SelectedTextMenu,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2025-06-12T23:27:20Z,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,SelectedTextMenu,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2024-11-19T05:41:03Z,WHTDURZESVWW5KLTDUQAP5QTQ4MYV36N,QuickHighlight,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2024-05-29T04:05:41Z,B07QN87LQB,QuickHighlight,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2023-02-20T22:17:14Z,B09NTK9WDQ,QuickHighlight,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2024-11-06T04:43:18Z,Q2GMDSWTP3KRSTVF5WHAONVIHS325UHL,SelectedTextMenu,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2023-04-05T04:35:27Z,B07HB5DKQX,SelectedTextMenu,RemoveHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2023-03-20T20:47:35Z,B0B3Y8DJFJ,QuickHighlight,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2025-06-13T03:27:14Z,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,SelectedTextMenu,RemoveHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2025-06-13T03:26:35Z,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,QuickHighlight,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2023-03-13T22:16:16Z,B09N6VX4K7,QuickHighlight,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2023-03-20T20:47:44Z,B0B3Y8DJFJ,SelectedTextMenu,RemoveHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2023-10-31T21:22:02Z,B0BKH7G2X8,QuickHighlight,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2024-10-09T02:40:42Z,B0CW1J3Y5G,QuickHighlight,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2025-06-12T22:02:20Z,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,QuickHighlight,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2024-10-09T02:40:48Z,B0CW1J3Y5G,SelectedTextMenu,RemoveHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2024-06-08T21:11:56Z,B0B3Y9JVMK,QuickHighlight,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2024-06-08T21:12:08Z,B0B3Y9JVMK,SelectedTextMenu,RemoveHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2025-06-13T03:26:47Z,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,SelectedTextMenu,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2024-05-30T03:28:54Z,Not Available,SelectedTextMenu,RemoveHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2024-11-20T04:10:55Z,WHTDURZESVWW5KLTDUQAP5QTQ4MYV36N,SelectedTextMenu,RemoveHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2025-06-12T23:27:25Z,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,SelectedTextMenu,RemoveHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2024-08-28T03:12:59Z,3451C4DEA84A49DEBFFFDDA0092EC804,QuickHighlight,AddHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2024-08-28T03:13:12Z,3451C4DEA84A49DEBFFFDDA0092EC804,SelectedTextMenu,RemoveHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
2023-10-31T23:00:58Z,B0BKH7G2X8,SelectedTextMenu,RemoveHighlight,Not Available,,On,,Kindle E-reader,US,www.amazon.com
