"Product Name","ASIN","Order Type","Order ID","Quantity Ordered"
"Godwin: A Novel","B0CH9KQYHS","ACQUIRE","none",1
"Godwin: A Novel","B0CH9KQYHS","RETURN","none",1
"The Frontrunner","B0CZXNTCFX","ACQUIRE","none",1
"The Frontrunner","B0CZXNTCFX","RETURN","none",1
"Burn: A novel","B0CN8TPKSP","ACQUIRE","none",1
"Burn: A novel","B0CN8TPKSP","RETURN","none",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Cold Victory","B0CQ38FNR9","RETURN","none",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"Not Available","Not Available","ACQUIRE","PDocId",1
"Not Available","Not Available","RETURN","PDocId",1
"The Denial of Death","B002C7Z57C","ACQUIRE","none",1
"The Denial of Death","B002C7Z57C","RETURN","none",1
"The Winner: A Novel","B0CGTHLBT9","ACQUIRE","none",1
"The Winner: A Novel","B0CGTHLBT9","RETURN","none",1
"Knowing What We Know: The Transmission of Knowledge: From Ancient Wisdom to Modern Magic","B0B7NGCGHG","RETURN","none",1
"Last Acts: A Novel","B0C7RK8P8K","ACQUIRE","none",1
"Last Acts: A Novel","B0C7RK8P8K","RETURN","none",1
"Martyr!: A novel","B0C3C886FY","ACQUIRE","none",1
"Martyr!: A novel","B0C3C886FY","RETURN","none",1
"The End of August: A Novel","B0BL6271NP","ACQUIRE","none",1
"The End of August: A Novel","B0BL6271NP","RETURN","none",1
"Blood Meridian: Or the Evening Redness in the West (Vintage International)","B003XT60E0","ACQUIRE","none",1
"Blood Meridian: Or the Evening Redness in the West (Vintage International)","B003XT60E0","RETURN","none",1
"The Purple Runner","B09S3WWY98","ACQUIRE","none",1
"The Purple Runner","B09S3WWY98","RETURN","none",1
"The Stranger (Camus Novel)","B09Q2F1X14","ACQUIRE","none",1
"The Stranger (Camus Novel)","B09Q2F1X14","RETURN","none",1
"The Upstairs Delicatessen: On Eating, Reading, Reading About Eating, and Eating While Reading","B0BQGHJM5L","ACQUIRE","none",1
"The Upstairs Delicatessen: On Eating, Reading, Reading About Eating, and Eating While Reading","B0BQGHJM5L","RETURN","none",1
"Eastbound","B0B6B4WPSF","ACQUIRE","none",1
"Eastbound","B0B6B4WPSF","RETURN","none",1
"What's Gotten Into You: The Story of Your Body's Atoms, from the Big Bang Through Last Night's Dinner","B09YRR8DB6","ACQUIRE","none",1
"What's Gotten Into You: The Story of Your Body's Atoms, from the Big Bang Through Last Night's Dinner","B09YRR8DB6","RETURN","none",1
"The Awesome Game: One Man's Incredible, Globe-Crushing Hockey Odyssey","B0CHWJCN94","ACQUIRE","none",1
"The Awesome Game: One Man's Incredible, Globe-Crushing Hockey Odyssey","B0CHWJCN94","RETURN","none",1
"The Theory of Everything Else: A Voyage Into the World of the Weird","B0BGJ3W5D3","RETURN","none",1
"Fever House: A Novel (Fever House Duology Book 1)","B0BP6S1S57","ACQUIRE","none",1
"Fever House: A Novel (Fever House Duology Book 1)","B0BP6S1S57","RETURN","none",1
"Hope: A Novel","B0BHY38ZPH","RETURN","none",1
"The Rise: A Short Story","B0CBW58P3J","ACQUIRE","D01-1494441-3213064",1
"The Rise: A Short Story","B0CBW58P3J","RETURN","D01-1494441-3213064",1
